|003849182_0_000005_1_The Mysterious Marriage  or  the Will of my father  [With plates ]_1820.jpg| Text
|001026231_0_000186_1_The History of the Ancient Parish of Sandbach  Co  Chester  including the two Chapelries of Holmes Chapel and Goostrey  etc_1890.jpg| Miniatures
|003424872_0_000267_1_A Yorkshireman s Trip to the United States and Canada     With     illustrations_1892.jpg| Nature
|002167334_18_000323_1_Thrilling Life Stories for the Masses_1892.jpg| People
|002035444_0_000027_1_Gems and precious stones of North America     Second edition  with appendix_1892.jpg| Objects
|003363586_0_000065_1_Sultan to Sultan  Adventures among the Masai and other tribes of East Africa  [I_1892.jpg| People
|003963151_0_000143_1_Geografi a y geologi a del Ecuador     Con     ilustraciones  etc_1892.jpg| Nature
|002167334_09_000210_1_Thrilling Life Stories for the Masses_1892.jpg| People
|000292922_07_000054_1_Autour de la Me diterrane e     Illustrations par A  Chapon  etc_1892.jpg| Landscape
|001373075_0_000190_1_Negyve nezer me rtfo ld vitorla val e s go zzel  [Illustrated ]_1892.jpg| Animals
|003827942_01_000305_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| People
|003969292_0_000205_1_[The Fate of Fenella  By Helen Mathers  Justin N  [sic] McCarthy  Mrs  Trollope _1892.jpg| People
|002274653_0_000111_1_A summer sojourn on the East Coast  By  Luberta      Part I      At Lowestoft  P_1892.jpg| Nature
|000411490_0_000010_1_A Book of Modern Ballads     By E  B  Browning     and others  Illustrated by A _1892.jpg| Text
|002578512_0_000274_1_Lahore  its history     and antiquities  With an account of its modern instituti_1892.jpg| Architecture
|002578512_0_000335_1_Lahore  its history     and antiquities  With an account of its modern instituti_1892.jpg| Architecture
|000728550_0_000267_1_The Captain of the  Mary Rose   A tale of to morrow     Illustrated  etc_1892.jpg| Landscape
|002167334_02_000127_1_Thrilling Life Stories for the Masses_1892.jpg| People
|003827942_02_000393_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| People
|002300912_0_000349_1_The Memorial Story of America  comprising the important events  episodes  and in_1892.jpg| Landscape
|002167334_03_000363_1_Thrilling Life Stories for the Masses_1892.jpg| People
|003126598_0_000016_1_The Illustrated Scottish Borders  historical  traditional and descriptive     Wi_1892.jpg| Architecture
|002167334_08_000020_1_Thrilling Life Stories for the Masses_1892.jpg| People
|003827942_01_000054_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| People
|001373075_0_000076_1_Negyve nezer me rtfo ld vitorla val e s go zzel  [Illustrated ]_1892.jpg| Objects
|003827942_02_000258_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| People
|003973547_0_000088_1_The Past and Present of the Parish Church of Folkestone  Together with an accoun_1892.jpg| Architecture
|002300912_0_000729_1_The Memorial Story of America  comprising the important events  episodes  and in_1892.jpg| Architecture
|001584984_0_000441_1_Handley Cross  or  Mr  Jorrocks s Hunt  By the author of  Sponge s Sporting Tour_1892.jpg| People
|002167334_02_000068_1_Thrilling Life Stories for the Masses_1892.jpg| Text
|002167334_22_000072_1_Thrilling Life Stories for the Masses_1892.jpg| People
|003827942_02_000036_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| Landscape
|002167334_10_000059_1_Thrilling Life Stories for the Masses_1892.jpg| People
|000495562_01_000092_1_The Story of Africa and its Explorers  [With plates and maps ]_1892.jpg| People
|003827942_02_000177_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| Nature
|000242671_0_000133_1_Memorials of Old Chelsea  a new history of the village of palaces     With numer_1892.jpg| Architecture
|003827942_02_000164_1_Die Kopien der Weltkarte des Museum Borgia  etc   Nachrichten von der Ko niglich_1892.jpg| Nature
|000353244_01_000227_1_Du Niger au golfe de Guine e  par le pays de Kong et le Mossi     1887 1889  Ouv_1892.jpg| Nature
|002270705_0_000121_1_Welsh Pictures drawn with Pen and Pencil     Edited by R  Lovett  with     illus_1892.jpg| Landscape
|003525340_0_000071_1_The Great Streets of the World  By R  H  Davis  Andrew Lang  F  Sarcey  etc  Ill_1892.jpg| People
|003221572_0_000195_1_Farthest East  and South and West  Notes of a Journey Home through Japan  Austra_1892.jpg| Nature
|002706365_04_000031_1_[Cassell s Illustrated Universal History ]_1893.jpg| People
|001065565_0_000128_1_On English Lagoons  Being an account of the voyage of two amateur wherrymen on t_1893.jpg| People
|000975705_01_000310_1_History of the town of Hampton  New Hampshire  from its settlement in 1638 to th_1893.jpg| Maps
|001343351_0_000021_2_Record of Municipal Affairs in Sheffield     1843 to     1893  [With portraits a_1893.jpg| People
|001741395_0_000234_1_The Bristol Pike [Pennsylvania]_1893.jpg| Animals
|002097103_0_000029_1_Warblin s fro  an Owd Songster  With an introductory sketch by W  Trevor  [Illus_1893.jpg| People
|001013183_0_000049_1_Hollande et Hollandais d apre s nature     Ouvrage illustre   etc_1893.jpg| Animals
|001888839_0_000069_1_Reality versus Romance in South Central Africa  An account of a journey across t_1893.jpg| Architecture
|003326759_0_000443_1_[Chicago  die Geschichte einer Wunderstadt ] Chicago  the Wonder City_1893.jpg| Architecture
|001184742_0_000132_1_[The Buccaneers and Marooners of America     Edited by H  Pyle  [Containing The _1893.jpg| People
|003688769_0_000036_1_Souvenir de Tunis  Notice ge ne rale sur la Tunisie     Descriptions  m urs  et _1893.jpg| Architecture
|001202350_0_000378_1_Through the Wilds  A record of sport and adventure in the forests of New Hampshi_1893.jpg| Nature
|003326759_0_000395_1_[Chicago  die Geschichte einer Wunderstadt ] Chicago  the Wonder City_1893.jpg| Architecture
|001988843_0_000429_1_Where Three Empires Meet  a narrative of recent travel in Kashmir  Western Tibet_1893.jpg| Nature
|001474068_0_000329_1_Tableaux de Paris     Paris qui consomme  Dessins de P  Vidal_1893.jpg| People
|001246166_0_000169_1_London City Suburbs as they are to day     Illustrated by W  Luker     from orig_1893.jpg| Nature
|000754617_0_000112_1_Greater Bristol  By Lesser Columbus  [With illustrations ]_1893.jpg| Architecture
|003969346_0_000128_1_Through Matabeleland  the record of a ten months  trip in an ox wagon through Ma_1893.jpg| Architecture
|000231816_0_000031_1_De Carthage au Sahara_1893.jpg| Architecture
|003566043_01_000879_1_Die wissenschaftlichen Ergebnisse der Reise des Grafen Be la Sze chenyi in Ostas_1893.jpg| Nature
|000728557_0_000053_1_The Great Peril and how it was averted     Reprinted from  Black and White   [A _1893.jpg| People
|001437541_0_000220_1_Six years of adventure in Congoland     With an introduction by H  M  Stanley  I_1893.jpg| People
|001565531_02_000058_1_Voyages of the Elizabethan Seamen to America     Edited by E  J  Payne     Secon_1893.jpg| People
|002491589_0_000106_1_Byeways in the Southern Alps  etc_1893.jpg| Landscape
|002687703_0_000073_1_In the Wake of Columbus  Adventures of the Special Commissioner sent by the Worl_1893.jpg| Architecture
|002622189_0_000023_1_Flowers I bring and Songs I sing     Poems by E  Bland  H  M  Burnside  A  Scane_1893.jpg| Nature
|002339734_0_000025_1_Unsere Schutztruppe in Ostafrika     Mit 34 Illustrationen  etc_1893.jpg| People
|000676234_0_000039_2_Cheltenham  the Garden Town of England   Third edition  _1893.jpg| Landscape
|002472561_0_000267_1_Heroes of South African Discovery     Fourth edition_1893.jpg| Nature
|002255503_0_000051_1_The Golden Transvaal  an illustrated review  descriptive  historical  etc_1893.jpg| People
|002622231_0_000012_2_Our Friends and all about them  [In verse ]_1893.jpg| People
|002497492_0_000263_1_The Danube  from the Black Forest to the Black Sea  etc_1893.jpg| Architecture
|000973604_02_000288_1_Bombay and Western India  A series of stray papers_1893.jpg| People
|002056259_0_000177_1_La France et ses colonies au XIXe sie cle     Ouvrage illustre   etc_1893.jpg| People
|000014984_0_000156_1_The Bow and the Sword  A romance     Illustrated  etc_1893.jpg| People
|002731511_0_000377_1_The Fifth Gospel  the land where Jesus lived_1893.jpg| Nature
|000931072_17_000503_1_The Letters of Charles Dickens  Edited by his sister in law and his eldest daugh_1893.jpg| People
|001013183_0_000087_1_Hollande et Hollandais d apre s nature     Ouvrage illustre   etc_1893.jpg| Animals
|003562864_0_000087_1_Days spent on a Doge s Farm  [Illustrated ]_1893.jpg| Architecture
|001382291_0_000059_1_The History of a Village Community in the Eastern Counties  Methwold       Illus_1893.jpg| Maps
|000495550_01_000760_1_[Our Earth and its Story  a popular treatise on physical geography  Edited by R _1893.jpg| Nature
|001939565_0_000299_1_In Arctic Seas  The voyage of the  Kite  with the Peary expedition together with_1893.jpg| Objects
|003969346_0_000104_1_Through Matabeleland  the record of a ten months  trip in an ox wagon through Ma_1893.jpg| People
|000754259_0_000086_1_British Columbia  its present resources and future possibilities  etc  [With ill_1893.jpg| Landscape
|000798311_0_000547_1_Chez nos Indiens  Quatre anne es dans la Guyane franc aise  1887 1891  Ouvrage c_1893.jpg| Architecture
|002816860_0_000073_1_Pennsylvania Railroad to the Columbian Exposition  with descriptive notes of    _1893.jpg| Maps
|000754259_0_000090_1_British Columbia  its present resources and future possibilities  etc  [With ill_1893.jpg| Nature
|000931567_0_000009_1_The Personal History of David Copperfield_1893.jpg| Nature
|000932276_0_000089_1_The Posthumous Papers of the Pickwick Club  [With plates ]_1893.jpg| People
|002706365_03_000557_1_[Cassell s Illustrated Universal History ]_1893.jpg| People
|002807191_0_000090_1_The Pecos Valley  the Fruit Belt of New Mexico  [Illustrated ]_1893.jpg| Maps
|002706365_03_000587_1_[Cassell s Illustrated Universal History ]_1893.jpg| People
|000751301_0_000184_1_The Great War of 189   A forecast  By Rear Admiral P  Colomb  Colonel J  F  Maur_1893.jpg| Objects
|001202350_0_000342_1_Through the Wilds  A record of sport and adventure in the forests of New Hampshi_1893.jpg| People
|001988844_0_000239_1_Where Three Empires meet     Third edition_1893.jpg| People
|000188899_0_000287_1_Resources and Development of Mexico  [With plates ]_1893.jpg| Nature
|000511154_0_000373_1_Gun and Camera in Southern Africa     With numerous illustrations and a map_1893.jpg| Nature
|000798311_0_000339_1_Chez nos Indiens  Quatre anne es dans la Guyane franc aise  1887 1891  Ouvrage c_1893.jpg| Nature
|002140656_0_000231_1_Au Kilima Ndjaro  Afrique orientale      Illustre  de 4 cartes et de 89 gravures_1893.jpg| People
|002797312_01_000381_1_Ethnographie Nordost Afrikas_1893.jpg| People
|003830256_0_000169_1_Rugby  past and present  with an historical account of neighbouring parishes  [W_1893.jpg| Architecture
|001890795_0_000072_1_Joliette illustre   Nume ro souvenir de ces noces d or  1843 1893_1893.jpg| Architecture
|001661826_0_000094_1_The Crime of a Christmas Toy  A detective story  etc_1893.jpg| People
|003566043_01_000580_1_Die wissenschaftlichen Ergebnisse der Reise des Grafen Be la Sze chenyi in Ostas_1893.jpg| Maps
|002816860_0_000057_1_Pennsylvania Railroad to the Columbian Exposition  with descriptive notes of    _1893.jpg| Maps
|000754617_0_000067_1_Greater Bristol  By Lesser Columbus  [With illustrations ]_1893.jpg| Text
|000307469_0_000066_1_Home Geography of England and Wales     With     maps  etc_1893.jpg| Maps
|001570234_0_000027_1_Nursery Songs  [Edited and] illustrated by J  Hall_1893.jpg| Animals
|000495550_02_000139_1_[Our Earth and its Story  a popular treatise on physical geography  Edited by R _1893.jpg| Nature
|002811291_0_000083_1_Outlines of Roman History     With maps_1893.jpg| Maps
|001602143_0_000155_1_A Journey through the Yemen  and some general remarks upon that country     Illu_1893.jpg| Maps
|003137088_0_000268_1_Mexico  Si  Sen or  [An account of a tour through the country  Illustrated ]_1893.jpg| Maps
|000773378_0_000007_1_[Cook s Handbook for London  With two maps ]_1893.jpg| Text
|001628493_0_000209_1_Overzicht der algemeene en vaderl  geschiedenis  met 20 historische Kaarten  voo_1893.jpg| Maps
|001748678_0_000043_1_Icelandic Pictures drawn with pen and pencil     with a map and     illustration_1893.jpg| Animals
|002332451_0_000318_1_Glimpses of Church and Social Life in the Highlands in Olden Times  and other pa_1893.jpg| Text
|002757962_0_000291_1_The Colliery Manager s Handbook     Second edition  revised  with additions_1893.jpg| Diagrams
|002797312_01_000373_1_Ethnographie Nordost Afrikas_1893.jpg| Objects
|003566043_03_000417_1_Die wissenschaftlichen Ergebnisse der Reise des Grafen Be la Sze chenyi in Ostas_1893.jpg| Objects
|001638791_0_000189_1_The Arctic Problem and Narrative of the Peary Relief Expedition of the Academy o_1893.jpg| Maps
|001092605_0_000257_1_Admiralty Manual for the Deviations of the Compass  Originally edited in 1862 by_1893.jpg| Diagrams
|003078546_0_000286_1_Diamonds and Gold in South Africa     With maps  etc_1893.jpg| Diagrams
|001092544_0_000034_1_The West India Pilot  vol  I      Fifth edition [by C  H  C  Langdon]_1893.jpg| Maps
|000495550_02_000214_1_[Our Earth and its Story  a popular treatise on physical geography  Edited by R _1893.jpg| Nature
|002687703_0_000521_1_In the Wake of Columbus  Adventures of the Special Commissioner sent by the Worl_1893.jpg| Nature
|000114764_0_000014_1_Le Sud oranais     Avec une carte     Treize mois de colonnes pendant l insurrec_1893.jpg| Architecture
|003250527_0_000601_1_                                                                 etc_1893.jpg| Maps
|003439115_0_000027_1_[Outlines of Geography for the use of lower and middle forms of schools and of c_1893.jpg| Maps
|001618386_0_000048_1_Die alte Geschichte Ka rntens von der Urzeit bis Kaiser Karl dem Grossen  etc_1893.jpg| Objects
|001059481_0_000117_1_Seen in Three Days  Written [in verse]  drawn   tinted by E  J  Ellis_1893.jpg| Animals
|001795669_0_000303_1_A Manual of the Geology of India     Second edition     largely rewritten by R  _1893.jpg| Objects
|001628492_0_000045_1_Overzicht der algemeene en vaderl  geschiedenis  met 20 historische Kaarten  voo_1893.jpg| Maps
|001842020_0_000207_1_Leerboek der Aardsrijkskunde  Met Schetskaartjes  etc_1893.jpg| Maps
|003055007_0_000459_1_Colombia  [Being a portion of the author s  Nouvelle Ge ographie universelle  ] _1893.jpg| Maps
|000495550_01_000067_1_[Our Earth and its Story  a popular treatise on physical geography  Edited by R _1893.jpg| Diagrams
|000229856_0_000039_1_Cha teau de La Rochefoucauld en Angoumois  Notice historique  essai de restituti_1893.jpg| Maps
|003412848_0_000007_1_[The Struggles and Adventures of Christopher Tadpole at home and abroad  Illustr_1893.jpg| Text
|002757962_0_000186_1_The Colliery Manager s Handbook     Second edition  revised  with additions_1893.jpg| Diagrams
|002019540_02_000044_1_Die geschichtliche Entwickelung der     Residenzstadt Dresden     Mit     Illust_1893.jpg| Maps
|001758763_0_000415_1_A Text Book of Coal Mining     Second edition  etc_1893.jpg| Diagrams
|001059481_0_000121_1_Seen in Three Days  Written [in verse]  drawn   tinted by E  J  Ellis_1893.jpg| Text
|001674134_01_000243_1_The Isle of Bute in the Olden Time  With illustrations  etc_1893.jpg| Architecture
|002757962_0_000216_1_The Colliery Manager s Handbook     Second edition  revised  with additions_1893.jpg| Diagrams
|001092605_0_000251_1_Admiralty Manual for the Deviations of the Compass  Originally edited in 1862 by_1893.jpg| Diagrams
|001484788_0_000149_1_ S Gravenhage in onzen tijd     Met 80 illustratie n  etc_1893.jpg| Text
|003566043_01_000847_1_Die wissenschaftlichen Ergebnisse der Reise des Grafen Be la Sze chenyi in Ostas_1893.jpg| Landscape
|000773378_0_000010_1_[Cook s Handbook for London  With two maps ]_1893.jpg| Maps
|003326759_0_000239_1_[Chicago  die Geschichte einer Wunderstadt ] Chicago  the Wonder City_1893.jpg| Architecture
|000207716_0_000109_1_From Whose Bourne  etc  [Three tales ]_1893.jpg| People
|001059481_0_000123_1_Seen in Three Days  Written [in verse]  drawn   tinted by E  J  Ellis_1893.jpg| Text
|002363802_0_000182_1_The Legend of Maandoo  [In verse ] By the Author of  Prometheus  Daughter       _1893.jpg| Architecture
|000588480_0_000280_1_Soave e il suo castello  Monografia illustrata  etc_1893.jpg| Text
|002002032_0_000633_1_Das Herzogthum Oldenburg in seiner wirthschaftlichen Entwickelung wa hrend der l_1893.jpg| Maps
|002332451_0_000375_1_Glimpses of Church and Social Life in the Highlands in Olden Times  and other pa_1893.jpg| Architecture
|000676234_0_000056_2_Cheltenham  the Garden Town of England   Third edition  _1893.jpg| Architecture
|000355972_0_000057_1_Boating in Bavaria  Austria  and Bohemia  down the Danube  Moldau and Elbe  By R_1893.jpg| Nature
|003804247_0_000219_1_A hrenlese_1893.jpg| Architecture
|002363802_0_000178_1_The Legend of Maandoo  [In verse ] By the Author of  Prometheus  Daughter       _1893.jpg| Landscape
|001741395_0_000088_1_The Bristol Pike [Pennsylvania]_1893.jpg| Landscape
|001202350_0_000372_1_Through the Wilds  A record of sport and adventure in the forests of New Hampshi_1893.jpg| Landscape
|003622617_0_000127_1_In the Track of the Sun  readings from the diary of a globe trotter     With ill_1893.jpg| Landscape
|001968597_0_000767_1_King s Handbook of New York City  An outline history and description of the Amer_1893.jpg| Architecture
|001968597_0_000173_1_King s Handbook of New York City  An outline history and description of the Amer_1893.jpg| Architecture
|000685214_0_000227_1_The Praise of Paris     Illustrated_1893.jpg| Objects
|001813578_0_000133_1_A Handbook of Iowa     [Edited by] C  Ashton  J  O  Crosby and J  W  Jarnagin  e_1893.jpg| Architecture
|001764702_0_000083_2_In the Redwood s Realm  By ways of wild Nature and highways of industry     in H_1893.jpg| Nature
|001246166_0_000283_1_London City Suburbs as they are to day     Illustrated by W  Luker     from orig_1893.jpg| Landscape
|003326759_0_000387_1_[Chicago  die Geschichte einer Wunderstadt ] Chicago  the Wonder City_1893.jpg| Objects
|001476894_0_000441_1_La France pittoresque  Ouvrage illustre   etc_1893.jpg| Landscape
|001246166_0_000115_1_London City Suburbs as they are to day     Illustrated by W  Luker     from orig_1893.jpg| Nature
|001813578_0_000141_1_A Handbook of Iowa     [Edited by] C  Ashton  J  O  Crosby and J  W  Jarnagin  e_1893.jpg| Landscape
|002706365_04_000010_1_[Cassell s Illustrated Universal History ]_1893.jpg| People
|000360874_0_000006_1_A House hunter in Europe_1893.jpg| Landscape
|002706365_01_000250_1_[Cassell s Illustrated Universal History ]_1893.jpg| Architecture
|002363802_0_000100_1_The Legend of Maandoo  [In verse ] By the Author of  Prometheus  Daughter       _1893.jpg| Landscape
|001476894_0_000313_1_La France pittoresque  Ouvrage illustre   etc_1893.jpg| Landscape
|000723431_0_000357_1_Ethnographische beschrijving van de West  en Noordkust von Nederlandsch Nieuw Gu_1893.jpg| Objects
|000011361_0_000419_1_Tirol und Vorarlberg     Mit     einer Karte  zahlreichen Illustrationen  etc_1894.jpg| Architecture
|000495547_06_000117_1_[The Countries of the World  being a popular description of the various continen_1894.jpg| People
|000876824_0_000008_1_Dolomite Strongholds  The last untrodden Alpine peaks     With map and illustrat_1894.jpg| Nature
|003514223_0_000055_1_Woods and Dales of Derbyshire  [With plates ]_1894.jpg| People
|001237471_0_000605_1_Kuvallinen Suomen historia vanhimmista ajoista nykyaikaan saakka_1894.jpg| Maps
|002212570_0_000433_1_Orient Line Guide  etc   Fifth edition  re written  _1894.jpg| Architecture
|003416887_0_000641_1_[Illustrated British Ballads  old and new  Selected and edited by G  B  Smith ]_1894.jpg| People
|000011361_0_000443_1_Tirol und Vorarlberg     Mit     einer Karte  zahlreichen Illustrationen  etc_1894.jpg| Nature
|000510822_02_000434_1_[Picturesque America  or  the Land we live in  A delineation by pen and pencil o_1894.jpg| Landscape
|003490410_0_000317_1_Unter den Naturvo lkern Zentral Brasiliens  Reisechilderung und Ergebnisse der z_1894.jpg| Decorations
|002267419_0_000136_1_The Gates of Thibet  A bird s eye view of Independent Sikkhim  British Bhootan a_1894.jpg| Text
|003382632_0_000422_1_The Gazetteer of Sikhim  With an introduction by H  H  Risley     Edited in the _1894.jpg| Seals
|003128573_0_000271_1_Description hydrographique de l Escaut depuis son embouchure jusqu a  Anvers  [W_1894.jpg| Diagrams
|002212570_0_000065_1_Orient Line Guide  etc   Fifth edition  re written  _1894.jpg| Diagrams
|002587500_0_000099_1_Pictorial Tour Round India     Fourth edition_1894.jpg| Landscape
|000495547_04_000068_2_[The Countries of the World  being a popular description of the various continen_1894.jpg| People
|000495547_05_000211_1_[The Countries of the World  being a popular description of the various continen_1894.jpg| Nature
|000992037_0_000281_1_Zig Zags en Bretagne  etc  [Illustrated ]_1894.jpg| Nature
|003775163_0_000453_1_Verdens Storbyer  [Translated from  Les Capitales du monde  ] Paa Dansk af P  Na_1894.jpg| Seals
|003355342_01_000287_1_The United States of America  A study of the American Commonwealth  its natural _1894.jpg| People
|000209481_0_000103_1_[Sonnets  By E  B  B  [i e  Elizabeth Barrett Browning ] [Purporting to be the f_1894.jpg| Text
|003580132_0_000207_1_Grand Dictionnaire historique  ge ne alogique et biographique de la Haute Marche_1894.jpg| People
|003416887_0_000531_1_[Illustrated British Ballads  old and new  Selected and edited by G  B  Smith ]_1894.jpg| People
|001365066_02_000279_1_History of the Great Civil War  1642 1649_1894.jpg| Maps
|002126093_0_000111_1_Congo et Belgique  a  propos de l Exposition d Anvers_1894.jpg| Nature
|003128573_0_000266_1_Description hydrographique de l Escaut depuis son embouchure jusqu a  Anvers  [W_1894.jpg| Diagrams
|000011361_0_000337_1_Tirol und Vorarlberg     Mit     einer Karte  zahlreichen Illustrationen  etc_1894.jpg| People
|000958235_0_000206_1_When Life is Young  a collection of verse for boys and girls_1894.jpg| People
|001488114_01_001015_1_British Battles on Land and Sea  With numerous illustrations_1894.jpg| Landscape
|001480626_01_000103_1_Az 1848 49 iki magyar szabadsa gharcz to rte nete  [With illustrations ]_1894.jpg| People
|003900291_01_000047_1_Under the Red Robe_1894.jpg| People
|003128573_0_000311_1_Description hydrographique de l Escaut depuis son embouchure jusqu a  Anvers  [W_1894.jpg| Diagrams
|001780548_0_000111_1_The Liberation of Bulgaria  War notes in 1877     With illustrations and maps_1894.jpg| People
|003120574_02_000147_1_Robertson s Landmarks of Toronto  A collection of historical sketches of the old_1894.jpg| Landscape
|002706361_0_000883_1_Cassell s History of the War between France and Germany_1894.jpg| People
|003775163_0_000119_1_Verdens Storbyer  [Translated from  Les Capitales du monde  ] Paa Dansk af P  Na_1894.jpg| Architecture
|000650155_0_000190_1_Dijon  Monuments et souvenirs     Ouvrage illustre  de 140 photogravures  etc_1894.jpg| Landscape
|001265967_0_000044_1_History of the Parish Church of Saint Michael and All Angels  Chipping Lambourn_1894.jpg| Architecture
|002706361_0_000738_1_Cassell s History of the War between France and Germany_1894.jpg| People
|000265548_0_000699_1_[Il Castello di Milano sotto il dominio degli Sforza MCCCLMDXXXV  [With plates ]_1894.jpg| Architecture
|002706361_0_000942_1_Cassell s History of the War between France and Germany_1894.jpg| People
|003775163_0_000043_1_Verdens Storbyer  [Translated from  Les Capitales du monde  ] Paa Dansk af P  Na_1894.jpg| People
|000912418_0_000244_1_The Making of Birmingham  being a history of the rise and growth of the Midland _1894.jpg| Landscape
|000510822_01_000460_1_[Picturesque America  or  the Land we live in  A delineation by pen and pencil o_1894.jpg| Nature
|000495547_05_000123_1_[The Countries of the World  being a popular description of the various continen_1894.jpg| Nature
|003120574_01_000098_1_Robertson s Landmarks of Toronto  A collection of historical sketches of the old_1894.jpg| Architecture
|002531611_0_000071_1_The Land of the Sphinx     With     illustrations  etc_1894.jpg| Nature
|002873575_0_000121_1_Venezia     Adapted from the German by Mrs  Arthur Bell     With an introduction_1894.jpg| People
|002212570_0_000109_1_Orient Line Guide  etc   Fifth edition  re written  _1894.jpg| People
|000510822_01_000515_1_[Picturesque America  or  the Land we live in  A delineation by pen and pencil o_1894.jpg| Nature
|001488114_02_000044_1_British Battles on Land and Sea  With numerous illustrations_1894.jpg| People
|000302608_0_000061_1_[London     With     illustrations ]_1894.jpg| Architecture
|003488149_0_000326_1_Fra det moderne England  I Dansk bearbejdelse ved A  Ipsen  Med talrige illustra_1894.jpg| People
|003555240_0_000165_1_Va rt Folk  verklighetsbilder ur svenskt folklif     Tecknade med penna och pens_1894.jpg| Nature
|001970460_08_000008_1_[The Novels of Henry Kingsley  Edited by C  K  Shorter ]_1894.jpg| People
|002706361_0_000513_1_Cassell s History of the War between France and Germany_1894.jpg| People
|001480626_01_000075_1_Az 1848 49 iki magyar szabadsa gharcz to rte nete  [With illustrations ]_1894.jpg| People
|002873575_0_000097_1_Venezia     Adapted from the German by Mrs  Arthur Bell     With an introduction_1894.jpg| Architecture
|001488114_01_000561_1_British Battles on Land and Sea  With numerous illustrations_1894.jpg| People
|002816939_0_000038_1_Illustrated Penny Tales  From the  Strand  Library  no  1 10_1894.jpg| People
|002126093_0_000236_1_Congo et Belgique  a  propos de l Exposition d Anvers_1894.jpg| Maps
|001616963_0_000113_1_Vergleichende Erdkunde und alttestamentliche geographische Weltgeschichte  Mit z_1894.jpg| Maps
|000495547_02_000348_1_[The Countries of the World  being a popular description of the various continen_1894.jpg| Nature
|002565338_0_000203_1_A History of the Old Parish of Cheadle  in Cheshire     Also an account of the h_1894.jpg| Architecture
|002740789_0_000183_1_Diamond Rock  or  On the right track  [A tale ]_1894.jpg| People
|002706361_0_001080_1_Cassell s History of the War between France and Germany_1894.jpg| People
|000011361_0_000059_1_Tirol und Vorarlberg     Mit     einer Karte  zahlreichen Illustrationen  etc_1894.jpg| Landscape
|001488114_02_000969_1_British Battles on Land and Sea  With numerous illustrations_1894.jpg| People
|001521309_02_000119_1_Ordnance Gazetteer of Scotland     New edition  Edited by F  H  Groome_1894.jpg| Maps
|000251352_02_000006_1_History of the North West_1894.jpg| People
|002711141_0_000025_1_Our Northern Districts  Eastern Algoma  North Nipissing  Rainy River  and the Te_1894.jpg| Landscape
|002678206_0_000008_1_In Search of a Climate     With     illustrations  etc_1894.jpg| People
|000180895_0_000401_1_[African Hunting from Natal to the Zambesi including Lake Ngami  the Kalahari De_1894.jpg| Landscape
|002706361_0_000459_1_Cassell s History of the War between France and Germany_1894.jpg| Landscape
|003128573_0_000298_1_Description hydrographique de l Escaut depuis son embouchure jusqu a  Anvers  [W_1894.jpg| Diagrams
|000495547_02_000369_1_[The Countries of the World  being a popular description of the various continen_1894.jpg| Text
|001041515_0_000761_1_Old and New Paris  Its history  its people  and its places     With numerous ill_1894.jpg| Landscape
|011834423_0_000357_1_Around Tonkin and Siam_1894.jpg| Architecture
|003481730_01_000154_1_The Anthropological Series  Edited by Professor F  Starr_1894.jpg| People
|000510822_02_000344_1_[Picturesque America  or  the Land we live in  A delineation by pen and pencil o_1894.jpg| Landscape
|003522085_0_000399_1_Strassburg und seine Bauten  Herausgegeben vom Architekten  und Ingenieur Verein_1894.jpg| Architecture
|003416887_0_000073_1_[Illustrated British Ballads  old and new  Selected and edited by G  B  Smith ]_1894.jpg| People
|000510822_02_000636_1_[Picturesque America  or  the Land we live in  A delineation by pen and pencil o_1894.jpg| Nature
|003488148_0_000226_1_Fra n det moderna England  Ett urval bilder och intryck     Med 267 illustration_1894.jpg| People
|003481730_02_000172_1_The Anthropological Series  Edited by Professor F  Starr_1894.jpg| People
|003416887_0_000103_1_[Illustrated British Ballads  old and new  Selected and edited by G  B  Smith ]_1894.jpg| People
|001488114_01_001044_1_British Battles on Land and Sea  With numerous illustrations_1894.jpg| Maps
|003322694_0_000496_1_The Old Pike  A history of the national road  with incidents  accidents  and ane_1894.jpg| People
|000912418_0_000579_1_The Making of Birmingham  being a history of the rise and growth of the Midland _1894.jpg| Architecture
|003687754_0_000109_1_The Tower Bridge  its history and construction from the date of the earliest pro_1894.jpg| Diagrams
|000175832_0_000023_1_Pictures from Bohemia  drawn with pen and pencil  etc_1894.jpg| Architecture
|003159007_0_000173_1_The Metallurgy of Gold  etc_1894.jpg| Diagrams
|011834423_0_000325_1_Around Tonkin and Siam_1894.jpg| People
|000860727_0_000005_1_A Compendium of the History and Geography of Cornwall     Third edition  with co_1894.jpg| Maps
|002476636_0_000079_1_Album von Papu a Typen  Neu Guinea und Bismarck Archipel  Etwa 600 Abbildungen a_1894.jpg| People
